2023-07-31 14:03:20.836  INFO [department-service,,] 13648 --- [restartedMain] c.e.demo.DepartmentServiceApplication    : Starting DepartmentServiceApplication using Java 11.0.18 on DESKTOP-SJOQAIU with PID 13648 (C:\Users\Nilesh\Documents\workspace-spring-tool-suite-4-4.18.1.RELEASE\department-service\target\classes started by Nilesh in C:\Users\Nilesh\Documents\workspace-spring-tool-suite-4-4.18.1.RELEASE\department-service)
2023-07-31 14:03:20.846  INFO [department-service,,] 13648 --- [restartedMain] c.e.demo.DepartmentServiceApplication    : No active profile set, falling back to 1 default profile: "default"
2023-07-31 14:03:21.008  INFO [department-service,,] 13648 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-07-31 14:03:21.008  INFO [department-service,,] 13648 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-07-31 14:03:24.270  INFO [department-service,,] 13648 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-31 14:03:24.610  INFO [department-service,,] 13648 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 316 ms. Found 1 JPA repository interfaces.
2023-07-31 14:03:25.390  INFO [department-service,,] 13648 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=d2e09a48-e996-3e99-a81b-a3a47306bce4
2023-07-31 14:03:27.246  INFO [department-service,,] 13648 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 0 (http)
2023-07-31 14:03:27.289  INFO [department-service,,] 13648 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-07-31 14:03:27.291  INFO [department-service,,] 13648 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.78]
2023-07-31 14:03:27.508  INFO [department-service,,] 13648 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-07-31 14:03:27.508  INFO [department-service,,] 13648 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 6499 ms
